Different ways to help	They all try.|It is a jumble!	The friends all try to help.|But they work in different ways.	Rabbit fetches pieces while Swan and Owl reach for some of the same ones.|Their ideas are different, and nobody is sure which job to do first.	大家都試試。|全亂成一團了！	朋友們都想幫忙。|但大家用的方法不一樣。	兔兔拿來拼片，天鵝和貓頭鷹卻伸手拿同樣的幾片。|大家想法不同，也不確定該先做哪一件事。	different
Listen and share	Gail listens.|“Let’s share the jobs.”	Gail listens to each friend.|They choose jobs they can do well.	Gail listens to each friend and suggests sharing the jobs.|Each friend has a useful strength, even though none of them can do every part alone.	瑜瑜仔細聽。|「我們分工吧。」	瑜瑜聽每位朋友說。|大家選擅長的工作。	瑜瑜聽完每位朋友的想法，提議分工。|每位朋友都有派得上用場的優點，雖然沒有人能獨自完成全部。	strength
Rabbit gathers	Rabbit brings pieces.|Here they are!	Rabbit brings the far pieces back.|His quick feet help the group.	Rabbit gathers the pieces that have slid far away.|The same quick feet Gail admired during the race now help the whole group.	兔兔帶來拼片。|都在這裡！	兔兔把遠處的拼片帶回來。|他的快腳幫上了大家。	兔兔收集滑到遠處的拼片。|瑜瑜在比賽時欣賞的快腳，現在幫助了整個團隊。	admire
Swan finds the curves	These look similar.|Swan puts them near.	Swan finds pieces with similar curves.|She sets them side by side.	Swan notices similar curves on several pieces and places them together.|Her eye for shape helps the friends see how the edges might fit.	這些看起來相似。|天鵝把它們放近。	天鵝找到曲線相似的拼片。|她把它們並排放好。	天鵝發現幾片拼圖有相似的曲線，就把它們放在一起。|她觀察形狀的能力，幫大家看出邊緣可能如何接合。	similar
Owl checks the corner	One corner is missing.|Owl finds it!	Owl checks the last corner.|He finds the missing piece.	Owl looks closely at the unfinished corner and finds a missing piece.|His patient checking is another talent the group needs.	少了一個角。|貓頭鷹找到了！	貓頭鷹檢查最後一個角。|他找到缺少的拼片。	貓頭鷹仔細看還沒完成的角落，找到一片缺少的拼圖。|他耐心檢查的本領，也是團隊需要的才能。	talent
Gail puts things in order	This one comes next.|Gail shows the way.	Gail puts the pieces in order.|The star begins to take shape.	Gail uses the pieces her friends have gathered to plan the next steps.|She begins to value her own ability to keep track of how the parts fit together.	接著是這一片。|瑜瑜示範怎麼做。	瑜瑜依序排好拼片。|星星開始成形了。	瑜瑜運用朋友收集的拼片，規劃接下來的步驟。|她開始珍惜自己能理清各部分如何組合的能力。	value own
A star made together	The star is whole!|They all helped.	The friends finish the star.|Each friend helped in a unique way.	The last piece fits, and a bright star appears on the table.|Each friend has made a unique contribution; the puzzle needed all of them.	星星完整了！|大家都有幫忙。	朋友們完成了星星。|每位朋友都用獨特的方式幫忙。	最後一片拼上去，桌上出現一顆明亮的星星。|每位朋友都作出了獨特的貢獻，拼圖需要他們每一位。	unique
A different picture	Look in the mirror.|They all matter.	The mirror shows all the friends.|No one looks smaller now.	This time, the mirror shows the friends at an equal size beside their shared work.|Their skills are different, but each person matters just as much.	看看鏡子。|每個人都重要。	鏡子映出所有朋友。|現在沒有人比較小。	這一次，鏡子把朋友們映得一樣大，站在共同的作品旁。|大家的本領不同，但每個人都同樣重要。	equal
Her own progress	“I learned something.”|Gail smiles at herself.	Gail thinks about her own work.|She can see how she improved.	Gail looks at herself and remembers what she could do before today.|She can improve without being better than every friend at every activity.	「我學到了東西。」|瑜瑜對自己笑了。	瑜瑜想著自己的努力。|她看得出自己進步了。	瑜瑜看著自己，回想今天之前她會做的事。|她可以持續進步，不必每項活動都比每個朋友厲害。	herself improve
Just Gail	Back at home.|“I can be me.”	Gail is home with her mirror.|It shows her just as she is.	Back in her bedroom, Gail sees an ordinary reflection in the quiet mirror.|She is glad to be herself, with her own pace and more things to learn.	回到家了。|「我可以做自己。」	瑜瑜帶著鏡子回家了。|鏡子映出她原本的樣子。	回到房間，瑜瑜在安靜的鏡子裡看見平常的倒影。|她很高興能做自己，用自己的步調繼續學習。	herself pace
